,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_features,param_n_estimators,param_warm_start,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
112,1.1473182678222655,0.016691143274481887,0.08509936332702636,0.007735366708745165,False,balanced,gini,sqrt,500,True,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 500, 'warm_start': True}",0.5514663599769982,0.7285796434732605,0.7918343875790684,0.8176064441887226,0.7313003452243959,0.7241574360884891,0.09295770190317554,145
119,1.1238228321075439,0.018253968603722002,0.07915515899658203,0.005416557325227588,False,balanced,gini,log2,500,False,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 500, 'warm_start': False}",0.5514663599769982,0.7285796434732605,0.7918343875790684,0.8176064441887226,0.7313003452243959,0.7241574360884891,0.09295770190317554,145
171,0.4485766410827637,0.014290912846570226,0.046320199966430664,0.012636201985365353,False,balanced_subsample,gini,log2,200,False,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': False}",0.550316273720529,0.7257044278320874,0.7889591719378953,0.8158803222094362,0.733601841196778,0.7228924073793452,0.0926463070219481,153
111,0.47100296020507815,0.008601610738754546,0.03985748291015625,0.00028470032036141804,False,balanced,gini,sqrt,200,False,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': False}",0.550316273720529,0.7257044278320874,0.7889591719378953,0.8158803222094362,0.733601841196778,0.7228924073793452,0.0926463070219481,153
165,0.45645833015441895,0.009811733869494048,0.0395050048828125,0.000428482192979082,False,balanced_subsample,gini,sqrt,200,False,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': False}",0.550316273720529,0.7257044278320874,0.7889591719378953,0.8158803222094362,0.733601841196778,0.7228924073793452,0.0926463070219481,153
110,0.46338486671447754,0.014786852557234297,0.03968987464904785,0.00041166610360502813,False,balanced,gini,sqrt,200,True,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",0.550316273720529,0.7257044278320874,0.7889591719378953,0.8158803222094362,0.733601841196778,0.7228924073793452,0.0926463070219481,153
164,0.468104887008667,0.018139801707604358,0.040097618103027345,0.0004858632679604714,False,balanced_subsample,gini,sqrt,200,True,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",0.550316273720529,0.7257044278320874,0.7889591719378953,0.8158803222094362,0.733601841196778,0.7228924073793452,0.0926463070219481,153
170,0.4482383728027344,0.00820017552912037,0.03959722518920898,0.0004862418977335899,False,balanced_subsample,gini,log2,200,True,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",0.550316273720529,0.7257044278320874,0.7889591719378953,0.8158803222094362,0.733601841196778,0.7228924073793452,0.0926463070219481,153
117,0.45371417999267577,0.008442108861572144,0.03972640037536621,0.0005104028635009938,False,balanced,gini,log2,200,False,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': False}",0.550316273720529,0.7257044278320874,0.7889591719378953,0.8158803222094362,0.733601841196778,0.7228924073793452,0.0926463070219481,153
116,0.4705148696899414,0.014643392997039994,0.03936929702758789,0.000195343452381466,False,balanced,gini,log2,200,True,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",0.550316273720529,0.7257044278320874,0.7889591719378953,0.8158803222094362,0.733601841196778,0.7228924073793452,0.0926463070219481,153
168,0.23751258850097656,0.003947958975574395,0.02899627685546875,4.997471811894952e-06,False,balanced_subsample,gini,log2,100,True,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",0.5480161012075906,0.7228292121909143,0.7849338700402531,0.8170310701956272,0.7347525891829689,0.7215125685634708,0.09319238329013546,161
108,0.23830318450927734,0.0022064781867846602,0.028801107406616212,0.0004013594360386908,False,balanced,gini,sqrt,100,True,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 100, 'warm_start': True}",0.5480161012075906,0.7228292121909143,0.7849338700402531,0.8170310701956272,0.7347525891829689,0.7215125685634708,0.09319238329013546,161
162,0.2328813076019287,0.0066901632795705055,0.029502391815185547,0.0007741035139497377,False,balanced_subsample,gini,sqrt,100,True,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 100, 'warm_start': True}",0.5480161012075906,0.7228292121909143,0.7849338700402531,0.8170310701956272,0.7347525891829689,0.7215125685634708,0.09319238329013546,161
163,0.2378934383392334,0.008988693223767335,0.02860107421875,0.00037035170670234843,False,balanced_subsample,gini,sqrt,100,False,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 100, 'warm_start': False}",0.5480161012075906,0.7228292121909143,0.7849338700402531,0.8170310701956272,0.7347525891829689,0.7215125685634708,0.09319238329013546,161
